Asset NO.(SAP),รหัสครุภัณฑ์,รายละเอียดสินทรัพย์,วันที่ขึ้นทะเบียนสินทรัพย์,หน่วยนับ,Price,life_time,ชนิด,ลักษณะ,หน่วยงาน,ชื่อหน่วยงาน
10000024828,630101401000335,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024830,630101401000336,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024832,630101401000337,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024834,630101401000338,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024836,630101401000339,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024838,630101401000340,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024840,630101401000341,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024842,630101401000342,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024845,630101401000343,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024848,630101401000344,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024851,630101401000345,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024854,630101401000346,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024857,630101401000347,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024859,630101401000348,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024861,630101401000349,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024863,630101401000350,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024865,630101401000351,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024867,630101401000352,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024869,630101401000353,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024871,630101401000354,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024873,630101401000355,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024875,630101401000356,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024877,630101401000357,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024879,630101401000358,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024881,630101401000359,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024883,630101401000360,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024885,630101401000361,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024887,630101401000362,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024889,630101401000363,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024891,630101401000364,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024893,630101401000365,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024895,630101401000366,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024897,630101401000367,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024899,630101401000368,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024901,630101401000369,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024903,630101401000370,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 49,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,46101.71,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
